id,rejestracja,data_aktualizacji,data_waznosci
1,SP-SRS,2018-01-15,2019-01-15
2,SP-S23,2018-02-10,2019-02-10
3,SP-S2R,2018-03-05,2019-03-05
4,SP-S7H,2019-04-01,2020-04-01
5,SP-S24,2019-05-15,2020-05-15
6,SP-SRS,2020-06-01,2021-06-01
7,SP-S23,2020-07-01,2021-07-01
8,SP-S2R,2021-08-01,2022-08-01
9,SP-S7H,2021-09-01,2022-09-01
10,SP-S24,2022-10-01,2023-10-01
11,SP-SRS,2023-10-01,2024-11-01
12,SP-S23,2023-10-01,2024-12-01
13,SP-S2R,2023-01-01,2024-01-01
14,SP-S72,2023-02-01,2024-02-01
15,SP-S76,2023-06-01,2024-03-01
